name,category,price,description
Spicy Tuna Roll,Sushi,8.99,Tuna with spicy mayo
California Roll,Sushi,7.99,Crab, avocado, and cucumber
Salmon Nigiri,Sushi,6.99,Fresh salmon over rice
Miso Soup,Appetizers,3.99,Traditional soybean soup
Edamame,Appetizers,4.99,Steamed soybeans with sea salt
Chicken Teriyaki,Entrees,15.99,Grilled chicken with teriyaki sauce
Tempura Udon,Noodles,13.99,Thick noodles with fried shrimp
Dragon Roll,Sushi,12.99,Eel and cucumber topped with avocado
Sashimi Platter,Sushi,24.99,Assorted fresh raw fish
Green Tea Ice Cream,Desserts,4.99,Japanese matcha ice cream
