name,category,price,description
Classic Cheeseburger,Burgers,12.99,Beef patty with cheddar cheese
Bacon BBQ Burger,Burgers,14.99,With crispy bacon and BBQ sauce
Mushroom Swiss Burger,Burgers,13.99,Sautéed mushrooms and swiss cheese
Sweet Potato Fries,Sides,5.99,Crispy sweet potato fries
Onion Rings,Sides,6.99,Beer battered onion rings
Vanilla Milkshake,Drinks,5.99,Creamy vanilla shake
Chocolate Milkshake,Drinks,5.99,Rich chocolate shake
Veggie Burger,Burgers,13.99,Plant-based patty with avocado
Chili Cheese Fries,Sides,7.99,Fries topped with chili and cheese
Fountain Soda,Drinks,2.99,Unlimited refills
