name,category,price,description
Pancakes Stack,Breakfast,9.99,Fluffy pancakes with syrup
Eggs Benedict,Breakfast,12.99,Poached eggs on english muffin
Bacon and Eggs,Breakfast,10.99,Two eggs any style with bacon
Avocado Toast,Breakfast,11.99,Sourdough toast with smashed avocado
French Toast,Breakfast,10.99,Cinnamon spiced french toast
Coffee,Drinks,2.99,Freshly brewed coffee
Orange Juice,Drinks,3.99,Fresh squeezed orange juice
Breakfast Burrito,Breakfast,9.99,Scrambled eggs, cheese, and salsa
Oatmeal,Breakfast,6.99,Steel-cut oats with berries
Bagel with Cream Cheese,Breakfast,4.99,Toasted bagel with schmear
