name,category,price,description
Margherita Pizza,Pizza,16.99,Classic tomato and mozzarella
Pepperoni Pizza,Pizza,18.99,Spicy pepperoni with mozzarella
Pasta Carbonara,Pasta,14.99,Creamy sauce with pancetta
Caesar Salad,Salads,11.99,Romaine lettuce with parmesan and croutons
Tiramisu,Desserts,8.99,Classic Italian coffee dessert
Garlic Bread,Sides,5.99,Toasted bread with garlic butter
Risotto ai Funghi,Pasta,16.99,Creamy mushroom risotto
Bruschetta,Appetizers,9.99,Grilled bread topped with fresh tomatoes
Lasagna,Pasta,17.99,Layers of pasta, meat sauce, and cheese
Gelato,Desserts,6.99,Assorted Italian ice cream flavors
